fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia
20210911 163526	282	12	148	17	5	4985000
20210911 163831	324	15	199	6	5	5348750
20210911 164029	299	15	80	3	5	5772500
20210911 164352	293	15	127	8	5	5381250
20210911 164824	358	15	414	9	5	5798750
20210911 165140	359	18	285	5	5	5470000
20210911 165416	267	18	370	6	5	5650000
20210911 165754	329	17	376	8	5	5673750
20210911 170156	287	12	217	11	5	5343750
20210911 170716	443	18	109	8	5	5861250
20210911 170939	279	12	1	6	5	4780000
20210911 171133	357	16	439	2	5	4523750
20210911 171700	395	16	328	10	5	5428750
20210911 172252	500	17	415	9	5	5528750
20210911 172631	369	19	400	7	5	5845000
20210911 173352	442	17	204	13	5	5171250
20210911 173736	485	20	410	5	5	5542500
20210911 174027	360	20	387	5	5	5897500
20210911 174310	476	18	369	3	5	5467500
20210911 174452	206	19	413	5	5	5466250
20210911 175109	458	15	107	11	5	5551250
20210911 175330	313	14	95	5	5	5456250
20210911 175826	449	19	186	8	5	5798750
20210911 180250	379	15	155	9	5	5442500
20210911 180655	392	15	500	8	5	5605000
20210911 180859	297	19	393	4	5	5390000
20210911 181239	476	18	143	5	5	5530000
20210911 181440	229	15	499	6	5	5720000
20210911 181728	306	13	479	7	5	6028750
20210911 182041	357	13	490	7	5	5527500
20210911 182411	288	13	482	10	5	5532500
20210911 182726	323	13	416	8	5	5812500
20210911 183205	355	17	359	10	5	5760000
20210911 184015	482	20	357	13	5	5163750
20210911 184432	432	13	224	8	5	5597500
20210911 184651	245	19	151	6	5	6057500
20210911 184927	459	16	99	3	5	5316250
20210911 185334	257	18	33	12	5	5116250
20210911 185659	344	19	413	7	5	5722500
20210911 185928	260	14	470	7	5	5587500
20210911 190242	369	17	359	6	5	5891250
20210911 190559	372	19	375	6	5	5793750
20210911 190837	228	20	191	8	5	5575000
20210911 191323	487	18	219	7	5	5838750
20210911 191637	288	8	50	14	5	5456250
20210911 192425	500	19	463	12	5	5496250
20210911 192807	361	10	184	10	5	5176250
20210911 193644	442	18	118	15	5	5038750
20210911 194647	454	12	178	21	5	5273750
20210911 194938	236	20	447	6	5	6225000
20210911 195230	221	10	190	13	5	5501250
20210911 195542	314	20	361	7	5	5680000
20210911 195946	233	20	449	13	5	5430000
20210911 200535	299	13	23	17	5	4825000
20210911 200734	241	20	429	5	5	5477500
20210911 201013	223	20	454	7	5	5435000
20210911 201221	234	19	192	6	5	5765000
20210911 201431	238	19	470	6	5	5752500
20210911 201949	443	17	155	9	5	5346250
20210911 202346	255	20	299	11	5	5325000
20210911 202513	203	17	97	3	5	5206250
20210911 202631	171	18	366	3	5	5358750
20210911 202929	299	20	449	6	5	5958750
20210911 203221	364	20	239	4	5	5610000
20210911 203545	295	11	47	9	5	5236250
20210911 203948	377	8	28	12	5	5006250
20210911 204434	500	19	473	5	5	5655000
20210911 205032	500	17	450	8	5	5791250
20210911 205245	234	20	205	6	5	5150000
20210911 205558	407	18	222	5	5	5752500
20210911 205819	280	18	234	5	5	6046250
20210911 210202	331	18	221	7	5	5683750
20210911 210505	289	13	326	7	5	5616250
20210911 210947	392	19	410	8	5	5618750
20210911 211241	294	15	51	6	5	5610000
20210911 211443	184	20	465	6	5	5268750
20210911 211729	267	13	498	8	5	5543750
20210911 212252	454	18	499	8	5	5625000
20210911 212633	365	20	188	4	5	6248750
20210911 212911	301	20	186	5	5	5662500
20210911 213541	500	14	236	10	5	5358750
20210911 213712	262	18	228	2	5	5038750
20210911 213953	371	20	128	4	5	5867500
20210911 214218	391	20	186	3	5	5570000
20210911 214309	143	12	75	3	5	5042500
20210911 214859	314	18	475	15	5	5680000
20210911 215114	251	19	51	6	5	5958750
20210911 215527	426	17	500	7	5	5528750
20210911 220044	370	12	76	13	5	5507500
20210911 220309	300	13	461	6	5	5685000
20210911 220511	357	20	465	2	5	4831250
20210911 220712	228	20	177	4	5	5760000
20210911 221015	347	11	346	7	5	5527500
20210911 221856	401	20	500	15	5	5676250
20210911 222232	361	19	192	4	5	6092500
20210911 222525	220	15	182	7	5	5345000
20210911 222811	281	19	107	4	5	5573750
20210911 223126	327	14	245	5	5	5473750
20210911 223701	469	11	109	8	5	5540000
20210911 224225	413	8	110	13	5	5173750
20210911 224528	265	19	256	5	5	5783750
20210911 225345	328	18	304	14	5	4935000
20210911 225955	420	11	267	12	5	5433750
20210911 230144	170	19	49	6	5	5246250
20210911 230758	337	20	482	13	5	5486250
20210911 231053	211	11	46	12	5	5443750
20210911 231459	289	11	78	12	5	5826250
20210911 232109	252	17	448	17	5	4706250
20210911 233058	488	19	488	15	5	5542500
20210911 233414	238	14	406	10	5	5700000
20210911 233616	228	11	411	6	5	5087500
20210911 233740	308	8	82	3	5	2988750
20210911 234021	237	20	397	7	5	5543750
20210911 234449	481	13	189	6	5	5755000
20210911 235310	371	15	500	16	5	4850000
20210911 235845	484	15	74	7	5	5642500
20210912 000507	480	13	37	9	5	5613750
20210912 001107	449	12	72	10	5	5631250
20210912 002335	389	13	152	25	5	4801250
20210912 002732	203	15	417	13	5	5595000
20210912 003100	225	12	352	11	5	5346250
20210912 003426	364	20	189	5	5	5507500
20210912 003816	309	13	452	9	5	5752500
20210912 004131	440	20	172	4	5	5376250
20210912 004515	387	17	235	7	5	5998750
20210912 004933	256	19	377	12	5	5433750
20210912 005518	495	14	94	9	5	5368750
20210912 005944	322	11	301	12	5	5677500
20210912 010526	289	17	422	14	5	5181250
20210912 011229	444	13	306	14	5	4876250
20210912 011429	246	19	72	5	5	5333750
20210912 011917	253	20	500	15	5	5385000
20210912 012145	371	20	177	4	5	5687500
20210912 012332	231	19	453	5	5	5522500
20210912 012526	366	19	119	2	5	4991250
20210912 012728	353	20	122	3	5	5603750
20210912 012951	360	20	154	4	5	5920000
20210912 013218	368	20	209	4	5	5626250
20210912 013559	353	20	421	8	5	5812500
20210912 013805	365	20	68	3	5	5402500
20210912 014008	235	18	423	6	5	5350000
20210912 014252	366	19	129	5	5	5482500
20210912 014521	365	20	433	4	5	5761250
20210912 014829	244	19	216	10	5	5388750
20210912 015015	226	18	63	5	5	5268750
20210912 015314	305	14	283	8	5	5396250
20210912 015740	444	16	202	8	5	5445000
20210912 020120	500	20	210	5	5	5696250
20210912 020436	352	18	337	7	5	5935000
20210912 020653	250	19	244	6	5	5711250
20210912 020856	236	20	484	6	5	6057500
20210912 021127	262	19	131	7	5	5411250
20210912 021506	433	19	50	6	5	5581250
20210912 021758	295	20	52	7	5	5308750
20210912 021948	265	18	188	4	5	6095000
20210912 022143	279	20	189	4	5	5700000
20210912 022411	379	17	187	4	5	5921250
20210912 022731	401	20	329	6	5	6146250
20210912 023200	445	18	288	8	5	5796250
20210912 023454	395	20	401	5	5	5676250
20210912 023845	404	20	260	7	5	6132500
20210912 024219	416	20	289	6	5	5438750
20210912 024635	399	20	319	8	5	5485000
20210912 024938	405	18	332	5	5	5922500
20210912 025333	372	17	263	8	5	5426250
20210912 025632	397	17	203	5	5	5500000
20210912 025858	360	19	294	4	5	5526250
20210912 030121	268	18	175	6	5	5365000
20210912 030346	238	9	288	11	5	5328750
20210912 030823	360	13	98	11	5	5671250
20210912 031129	459	20	194	4	5	5893750
20210912 031318	222	18	186	5	5	5491250
20210912 031648	402	20	228	6	5	6035000
20210912 032053	430	18	331	7	5	5595000
20210912 032347	371	20	326	5	5	5492500
20210912 032722	413	20	338	6	5	5715000
20210912 033232	484	20	259	8	5	5437500
20210912 033554	392	17	329	6	5	5992500
20210912 033735	254	14	188	4	5	5601250
20210912 033947	322	18	186	4	5	6053750
20210912 034555	432	20	345	11	5	5745000
20210912 034943	391	20	248	7	5	5680000
20210912 035337	363	18	353	8	5	5561250
20210912 035740	418	19	268	7	5	5921250
20210912 035958	255	20	443	6	5	5766250
20210912 040557	419	20	262	11	5	5187500
20210912 041005	299	13	110	12	5	5476250
20210912 041509	388	12	235	12	5	5791250
20210912 041808	438	20	115	4	5	5937500
20210912 042052	307	19	233	6	5	5362500
20210912 042442	394	19	219	7	5	5563750
20210912 042751	383	14	231	6	5	5582500
20210912 042952	253	17	235	5	5	6056250
20210912 043320	296	16	417	9	5	5621250
20210912 043519	215	20	445	6	5	5956250
20210912 043822	384	13	160	6	5	5790000
20210912 044113	262	17	230	8	5	5161250
20210912 044421	332	15	364	7	5	5758750
20210912 044815	453	18	102	6	5	5735000
20210912 045134	403	8	235	10	5	4745000
20210912 045318	210	20	371	5	5	5803750
20210912 045759	486	20	192	7	5	5420000
20210912 050227	341	12	251	12	5	5560000
20210912 050816	454	18	364	10	5	5668750
20210912 051049	189	17	382	10	5	5455000
20210912 051351	444	20	79	4	5	5570000
20210912 051805	500	16	39	6	5	5402500
20210912 052051	411	20	500	4	5	5481250
20210912 052404	356	11	434	8	5	5608750
20210912 052849	312	17	185	12	5	5345000
20210912 053113	241	16	43	7	5	5425000
20210912 053517	239	15	475	14	5	4912500
20210912 054043	359	17	230	12	5	5625000
20210912 054424	313	11	335	11	5	5905000
20210912 054735	363	20	448	6	5	6142500
20210912 055203	500	14	231	7	5	5730000
20210912 055530	401	19	462	6	5	5937500
20210912 055818	319	20	479	6	5	5873750
20210912 060153	423	12	185	7	5	5558750
20210912 060550	349	12	340	10	5	5698750
20210912 060737	248	19	241	4	5	5627500
20210912 061200	309	18	337	11	5	5312500
20210912 061617	324	14	368	11	5	5590000
20210912 061901	280	8	328	12	5	5083750
20210912 062339	450	15	54	8	5	5737500
20210912 063001	500	18	496	10	5	5511250
20210912 063627	396	14	241	14	5	5505000
20210912 063940	365	20	212	6	5	5557500
20210912 064445	500	15	180	8	5	5585000
20210912 064654	205	20	150	7	5	5038750
20210912 064858	253	19	149	5	5	5635000
20210912 065213	387	16	410	6	5	5930000
20210912 065715	443	11	342	11	5	5603750
20210912 065937	261	20	88	6	5	5696250
20210912 070058	138	20	134	5	5	5613750
20210912 070420	451	19	363	5	5	5871250
20210912 070834	495	20	222	6	5	5826250
20210912 071211	439	10	331	8	5	5266250
20210912 071412	309	9	142	6	5	4945000
20210912 071614	297	18	223	4	5	5576250
20210912 071912	348	18	431	6	5	5942500
20210912 072106	273	18	291	4	5	5003750
20210912 072329	236	20	136	7	5	5677500
20210912 072534	234	16	145	6	5	5747500
20210912 072819	236	12	190	10	5	5588750
20210912 073112	236	19	401	8	5	5566250
20210912 073352	399	20	113	4	5	5861250
20210912 073715	232	20	417	11	5	5266250
20210912 074011	359	14	417	6	5	5751250
20210912 074208	280	18	142	4	5	5085000
20210912 074411	259	18	218	5	5	5903750
20210912 074619	234	19	118	6	5	5361250
20210912 075015	465	17	225	6	5	5500000
20210912 075337	259	13	67	11	5	5477500
20210912 075622	305	20	153	6	5	5587500
20210912 075932	331	15	154	7	5	5246250
20210912 080200	317	18	235	5	5	5763750
20210912 080327	200	18	193	4	5	5841250
20210912 080608	349	19	214	5	5	5292500
20210912 080935	406	16	146	6	5	5953750
20210912 081332	334	17	194	9	5	5512500
20210912 081851	392	13	167	12	5	5466250
20210912 082104	309	20	87	4	5	5992500
20210912 082404	349	17	391	6	5	5957500
20210912 082625	403	19	328	3	5	5513750
20210912 083101	417	14	107	9	5	5513750
20210912 083416	427	19	233	5	5	5703750
20210912 083839	292	11	87	14	5	4952500
20210912 084206	286	11	270	11	5	5303750
20210912 084531	390	16	241	6	5	5625000
20210912 084737	304	15	157	4	5	5387500
20210912 084922	247	17	308	4	5	5545000
20210912 085309	393	15	260	7	5	5408750
20210912 085521	233	20	453	6	5	5956250
20210912 085704	234	17	357	4	5	5622500
20210912 090049	383	17	380	7	5	5636250
20210912 090333	337	20	468	5	5	5917500
20210912 090543	275	6	40	12	5	4160000
20210912 090818	233	12	439	9	5	5483750
20210912 091128	456	20	384	4	5	5885000
20210912 091324	263	20	126	4	5	5665000
20210912 092052	437	20	493	13	5	5545000
20210912 092458	408	20	352	7	5	6011250
20210912 092732	365	17	161	4	5	5630000
20210912 092947	364	20	180	3	5	5452500
20210912 093255	347	20	397	6	5	5682500
20210912 093517	328	20	131	4	5	5518750
20210912 093739	334	18	207	4	5	5196250
20210912 094048	280	18	277	8	5	5245000
20210912 094305	280	18	440	5	5	5527500
20210912 094504	318	18	106	3	5	5751250
20210912 094958	401	20	358	9	5	5523750
20210912 095230	244	17	176	7	5	5345000
20210912 095518	401	20	438	4	5	5915000
20210912 095800	236	20	433	8	5	5315000
20210912 100037	365	20	114	4	5	5748750
20210912 100403	386	18	365	6	5	5862500
20210912 100730	386	20	423	6	5	5580000
20210912 100942	236	19	369	6	5	5517500
20210912 101254	401	19	185	5	5	5836250
20210912 101658	404	19	113	7	5	5537500
20210912 102014	324	18	371	7	5	5705000
20210912 102337	381	17	259	6	5	5817500
20210912 102631	360	19	448	5	5	5725000
20210912 103422	391	20	467	15	5	5412500
20210912 103945	473	17	476	8	5	5660000
20210912 104343	408	17	303	7	5	5681250
20210912 104632	403	20	338	4	5	5658750
20210912 105011	466	20	261	5	5	5561250
20210912 105326	352	20	188	4	5	6411250
20210912 105845	259	9	111	24	5	5085000
