fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia
20210918 212823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	241	TRUE	0.0129591472645951	0.462019504109366	270	52	0.0395031861994201	8560000
20210918 213127	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	491	TRUE	0.0208458636247205	0.659445862677072	3328	2934	0.0444268879570712	8671250
20210918 213226	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	80	TRUE	0.0597470413498441	0.355803193086915	3194	2964	0.0477330575139275	8281250
20210918 213514	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	567	TRUE	0.0247869235028099	0.0890058444883743	2553	163	0.0454606804058954	8458750
20210918 213554	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	79	TRUE	0.0910093701507301	0.893338797593389	8883	385	0.0469397476973496	8170000
20210918 213658	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	169	TRUE	0.0410926143849943	0.821113008255935	14995	17	0.0453903747497485	7911250
20210918 213815	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	188	TRUE	0.0765362619265179	0.462722053059017	16601	2891	0.049777172380656	7895000
20210918 213920	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	455	TRUE	0.0479555123127118	0.870676630604508	3996	19	0.0466640617859861	8675000
20210918 214006	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	57	TRUE	0.0751072301361746	0.584034617442359	6164	35	0.0467935344579987	8141250
20210918 221603	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1507	TRUE	0.00396238060815013	0.394372987580813	10003	3024	0.0465937323530947	8040000
20210918 221924	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	673	TRUE	0.00461018681954002	0.601359738054328	18	19	0.0461653196054194	8265000
20210918 222216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	254	TRUE	0.0924009499297232	0.646165596737052	4	1269	0.0502980748229092	4983750
20210918 222538	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	330	TRUE	0.0852644116116343	0.995743070363332	12025	1431	0.0465989502828744	8152500
20210918 222702	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	140	TRUE	0.0999849493312955	0.998882582641506	9445	2969	0.0494031187358808	8160000
20210918 222901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	210	TRUE	0.0822448368606171	0.610005251168276	7815	175	0.0481817225533126	8408750
20210918 223151	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	403	TRUE	0.0772581652179191	0.00298291153411798	778	1742	0.0441910015151865	6920000
20210918 224235	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1030	TRUE	0.00908398343334409	0.998977410379864	1852	169	0.0422671385413152	8508750
20210918 224531	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	369	TRUE	0.0709079836466478	0.683768353551025	8735	3019	0.0478234691981642	8416250
20210918 224923	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	537	TRUE	0.0538267915009282	0.949369079714879	16422	66	0.0505556872307798	8235000
20210918 225058	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	135	TRUE	0.0666297226849803	0.999599059831786	11598	100	0.0452945941730302	8100000
20210918 225559	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	366	TRUE	0.0140075890412262	0.999517600990583	3895	2798	0.0446572514596938	8575000
20210918 231003	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	430	TRUE	0.0194335732824829	0.999417726189104	12071	3023	0.0458911566814596	7866250
