fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia
20210916 041555	467	14	309	21	5	5221250
20210916 041957	420	18	105	7	5	5298750
20210916 042716	479	18	306	12	5	5466250
20210916 042908	203	20	1	6	5	4221250
20210916 043246	433	19	500	6	5	5557500
20210916 044444	500	15	30	20	5	4668750
20210916 044742	352	12	421	7	5	5632500
20210916 045234	371	20	221	10	5	5478750
20210916 045544	155	12	306	19	5	4726250
20210916 050940	500	0	423	21	5	4252500
20210916 051313	323	20	140	8	5	5495000
20210916 053328	386	18	293	40	5	3888750
20210916 053720	452	20	212	6	5	5567500
20210916 053855	170	13	500	7	5	5583750
20210916 054156	352	0	500	6	5	5608750
20210916 054321	383	5	500	6	5	1361250
20210916 054914	281	0	500	16	5	5082500
20210916 055537	438	10	500	16	5	4915000
20210916 055807	334	18	500	5	5	5676250
20210916 060232	464	13	393	8	5	5511250
20210916 060545	345	16	321	7	5	5530000
20210916 060810	257	12	500	8	5	5575000
20210916 061341	230	15	322	20	5	4526250
20210916 062208	500	8	384	24	5	4921250
20210916 062814	500	11	218	12	5	5393750
20210916 064032	500	11	122	26	5	4736250
20210916 064203	169	16	500	6	5	5356250
20210916 064550	435	11	368	8	5	5262500
20210916 065344	500	13	173	14	5	5255000
20210916 065658	497	0	500	4	5	5823750
20210916 070105	298	13	425	12	5	5502500
20210916 070632	459	0	500	9	5	5566250
20210916 070834	431	0	500	2	5	5042500
20210916 071227	326	9	375	14	5	4937500
20210916 071727	353	11	9	14	5	4965000
20210916 071948	252	15	489	7	5	5577500
20210916 072356	500	12	1	7	5	5157500
20210916 072951	122	0	500	34	5	3693750
20210916 073156	165	9	500	14	5	4820000
20210916 073809	500	9	11	15	5	5407500
20210916 074215	448	16	411	7	5	5897500
20210916 074914	500	9	227	17	5	5090000
20210916 080125	500	8	1	36	5	4258750
20210916 081220	500	16	361	18	5	4907500
20210916 081612	215	7	500	29	5	4508750
20210916 082039	500	10	71	9	5	5437500
20210916 083151	347	10	412	38	5	4381250
20210916 083558	227	9	1	22	5	4813750
20210916 084211	198	8	80	47	5	4085000
20210916 084410	215	10	121	9	5	5318750
20210916 085145	373	13	498	19	5	4887500
20210916 085315	120	10	1	12	5	4813750
20210916 085517	238	18	500	6	5	5921250
20210916 085701	211	11	408	7	5	5697500
20210916 085917	232	13	445	8	5	5641250
20210916 090134	287	11	265	7	5	5217500
20210916 090526	431	16	500	7	5	5736250
20210916 092800	500	11	288	50	5	4497500
20210916 092815	2	7	325	30	5	3377500
20210916 092911	96	19	500	6	5	5453750
20210916 093002	237	10	1	2	5	2457500
20210916 093256	208	10	149	15	5	5248750
20210916 093916	500	12	73	12	5	5756250
20210916 094152	211	12	133	11	5	5277500
20210916 094953	500	11	49	16	5	5048750
20210916 095528	474	14	73	10	5	5832500
20210916 100033	442	13	89	10	5	5425000
20210916 100731	500	14	29	12	5	5172500
20210916 101259	489	15	108	9	5	5736250
20210916 101754	500	14	115	8	5	5730000
20210916 102419	500	12	122	10	5	5031250
20210916 103139	497	14	247	13	5	5191250
20210916 103505	336	15	80	8	5	5268750
20210916 103916	500	0	470	6	5	5773750
20210916 104227	285	9	74	13	5	5062500
20210916 104445	211	10	218	11	5	5105000
20210916 105533	500	11	281	23	5	5068750
20210916 110936	500	14	204	25	5	4805000
20210916 111357	490	14	73	7	5	5428750
20210916 112057	499	14	98	12	5	5538750
20210916 112634	500	10	1	12	5	5258750
20210916 112944	295	19	313	8	5	5562500
20210916 113432	478	15	191	8	5	5312500
20210916 113651	267	19	333	6	5	5652500
20210916 114758	417	13	385	25	5	4943750
20210916 115136	386	17	399	7	5	5803750
20210916 115932	483	13	425	15	5	5402500
20210916 120659	466	9	425	20	5	5013750
20210916 120920	236	11	335	9	5	5488750
20210916 121151	258	11	410	9	5	5761250
20210916 121429	298	13	400	7	5	5421250
20210916 121749	352	18	321	7	5	5677500
20210916 122058	377	17	305	4	5	6060000
20210916 122254	347	18	308	3	5	5286250
20210916 122604	435	17	258	5	5	5796250
20210916 122901	406	17	305	5	5	5551250
20210916 123142	422	17	254	4	5	5756250
20210916 123420	242	19	500	8	5	5915000
20210916 123640	375	15	415	4	5	5407500
20210916 123909	378	19	247	4	5	5840000
20210916 124322	428	14	445	8	5	5583750
20210916 124629	323	11	426	9	5	5641250
20210916 124853	371	17	259	4	5	5738750
20210916 125141	445	17	500	4	5	5627500
20210916 125544	495	17	250	6	5	5885000
20210916 125810	369	19	305	4	5	5993750
20210916 130115	500	16	311	4	5	5781250
20210916 130425	374	19	253	6	5	5756250
20210916 130756	477	18	190	5	5	5758750
20210916 131209	412	16	400	8	5	5872500
20210916 131911	455	0	500	12	5	5667500
20210916 132309	272	0	500	11	5	5001250
20210916 132651	500	0	500	5	5	5925000
20210916 132859	329	17	315	4	5	5572500
20210916 133126	223	19	356	8	5	5703750
20210916 133730	468	11	80	13	5	5342500
20210916 134307	361	0	478	12	5	5437500
20210916 134601	457	17	366	4	5	5821250
20210916 135202	500	10	391	13	5	5322500
20210916 135501	466	17	276	4	5	5522500
20210916 140030	500	14	54	9	5	5361250
20210916 140405	432	16	223	6	5	5588750
20210916 140656	376	19	157	5	5	5941250
20210916 141217	391	16	81	11	5	4948750
20210916 141924	500	0	427	11	5	5430000
20210916 142154	383	18	309	4	5	5820000
20210916 142557	433	17	400	7	5	5720000
20210916 142825	377	20	500	4	5	6052500
20210916 143030	367	20	500	3	5	5708750
20210916 143940	500	0	462	14	5	5378750
20210916 144213	401	16	305	4	5	5603750
20210916 144551	380	20	500	7	5	5698750
20210916 144821	386	19	500	4	5	5891250
20210916 145132	500	17	152	4	5	5560000
20210916 145257	109	13	500	10	5	5227500
20210916 145341	123	19	180	2	5	4771250
20210916 145557	260	20	500	6	5	5616250
20210916 145828	378	20	186	4	5	5640000
20210916 150157	404	20	500	4	5	6168750
20210916 150439	413	20	456	4	5	5941250
20210916 150713	192	12	413	12	5	5391250
20210916 151034	450	20	382	5	5	6021250
20210916 151333	500	14	235	4	5	5517500
20210916 151906	369	12	293	14	5	5520000
20210916 152248	500	19	378	5	5	5772500
20210916 152451	204	19	315	7	5	5728750
20210916 153133	375	19	298	14	5	5357500
20210916 153428	380	20	398	5	5	5806250
20210916 153912	314	12	191	14	5	5222500
20210916 154210	451	20	500	4	5	5971250
20210916 154438	317	0	429	5	5	6161250
20210916 154754	330	0	420	7	5	5862500
20210916 154946	313	0	453	3	5	5555000
20210916 155201	330	19	121	4	5	5438750
20210916 155533	371	16	500	7	5	5913750
20210916 155944	481	20	340	6	5	5815000
20210916 160246	453	20	415	4	5	5856250
20210916 160500	285	0	417	5	5	6142500
20210916 160725	307	0	399	5	5	5820000
20210916 160954	279	0	436	6	5	5778750
20210916 161716	500	11	305	15	5	5166250
20210916 161856	234	0	419	4	5	5643750
20210916 162653	382	12	238	20	5	4963750
20210916 162900	241	16	134	6	5	5733750
20210916 163010	160	16	90	4	5	5663750
20210916 163218	197	15	107	8	5	5208750
20210916 163908	500	7	1	22	5	4777500
20210916 164151	350	0	422	5	5	6087500
20210916 164528	474	0	418	5	5	5905000
20210916 164842	374	19	301	6	5	5828750
20210916 165157	422	0	432	5	5	6138750
20210916 165806	428	0	423	7	5	6248750
20210916 165948	376	17	400	2	5	4621250
20210916 170143	245	0	500	5	5	5952500
20210916 170643	418	0	418	9	5	5650000
20210916 171017	411	0	420	6	5	5573750
20210916 171309	378	17	136	5	5	5446250
20210916 171701	397	0	500	7	5	5732500
20210916 172038	415	20	360	4	5	6378750
20210916 172323	413	20	334	4	5	6012500
20210916 172459	169	19	142	6	5	5120000
20210916 173014	487	0	440	8	5	5618750
20210916 173431	441	0	453	7	5	5770000
20210916 173715	409	20	373	4	5	6113750
20210916 174029	491	20	358	4	5	5917500
20210916 174158	179	0	500	5	5	5987500
20210916 174511	425	20	359	5	5	5695000
20210916 175101	386	17	294	12	5	5926250
20210916 175259	416	20	370	2	5	4965000
20210916 175335	201	3	500	5	5	-3750
20210916 175459	167	0	452	5	5	5697500
20210916 175718	337	0	379	4	5	5943750
20210916 180003	417	19	376	4	5	5902500
20210916 180139	257	0	384	3	5	5706250
20210916 180342	212	16	445	7	5	5546250
20210916 180853	375	17	498	11	5	5290000
20210916 181127	322	0	112	5	5	5835000
20210916 181800	401	18	371	13	5	5182500
20210916 182045	346	0	200	5	5	6151250
20210916 182125	322	2	372	5	5	0
20210916 182418	423	0	198	4	5	6083750
20210916 182829	492	20	402	6	5	5875000
20210916 183352	425	16	263	10	5	5407500
20210916 183815	411	17	232	8	5	5810000
20210916 184448	400	17	225	13	5	5456250
20210916 185026	431	12	338	12	5	5440000
20210916 185324	500	13	415	4	5	5155000
20210916 185657	455	0	172	5	5	5757500
20210916 185815	171	0	187	4	5	5461250
20210916 190147	500	14	144	5	5	5313750
20210916 190413	350	0	242	4	5	5685000
20210916 191057	391	16	316	14	5	5466250
20210916 191611	400	20	477	10	5	5485000
20210916 192023	427	0	232	7	5	5308750
20210916 192345	500	0	305	4	5	6242500
20210916 192554	262	0	183	5	5	5556250
20210916 192836	462	0	338	3	5	5337500
20210916 193424	415	12	491	13	5	5498750
20210916 193918	460	20	500	8	5	5820000
20210916 194050	202	0	40	4	5	5013750
20210916 194540	322	16	292	12	5	5733750
20210916 195325	500	15	477	13	5	5163750
20210916 195926	500	12	453	11	5	5195000
20210916 200444	366	20	329	11	5	5397500
20210916 200612	147	11	401	8	5	5360000
20210916 200752	196	13	118	6	5	5580000
20210916 201059	275	14	191	9	5	5168750
20210916 201453	365	13	500	9	5	5775000
20210916 201752	428	0	24	4	5	5876250
20210916 201919	141	13	204	7	5	5558750
20210916 202410	500	0	326	7	5	5955000
20210916 202526	131	17	322	6	5	5362500
20210916 202916	424	0	23	6	5	5148750
20210916 203308	500	0	224	5	5	5718750
20210916 204013	459	20	365	12	5	5433750
20210916 204117	137	18	497	4	5	5313750
20210916 204549	346	12	490	12	5	5617500
20210916 204613	18	15	97	6	5	3616250
20210916 205249	329	17	285	16	5	5253750
20210916 205757	357	14	318	12	5	5557500
20210916 205928	176	14	272	5	5	5738750
20210916 210409	500	7	106	13	5	5030000
20210916 210552	213	13	214	5	5	5522500
20210916 210743	205	14	249	6	5	5580000
20210916 210914	175	12	292	6	5	4957500
20210916 211027	137	14	69	5	5	5082500
20210916 233354	500	0	369	5	5	5896250
20210916 233513	181	14	159	4	5	5295000
20210916 234137	354	14	362	16	5	5275000
20210916 234424	348	11	112	7	5	5035000
20210916 234728	500	14	324	4	5	5596250
20210916 234948	155	14	373	9	5	5640000
20210916 235212	135	14	307	13	5	4628750
20210916 235618	329	15	437	9	5	5392500
20210916 235936	450	20	40	4	5	5402500
20210917 000109	197	16	301	4	5	5836250
20210917 000534	257	20	257	12	5	4975000
