fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia
20210918 023029	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	307	TRUE	0.0995912509098311	0.622836344588999	8346	898	0.0460988525695853	8406250
20210918 023108	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	126	TRUE	0.0862515788818376	0.158751727033568	9908	2097	0.05042000297235	8265000
20210918 023207	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	160	TRUE	0.0786344073870895	0.42823207463441	5050	2713	0.0463457012962971	8577500
20210918 023258	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	246	TRUE	0.0850294051441544	0.302923452310389	5946	2266	0.050269023245003	8035000
20210918 023433	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	430	TRUE	0.0124578512857337	0.648836887286446	9800	594	0.0462820586985966	8137500
20210918 023504	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	97	TRUE	0.099905299998589	0.479170202443795	7241	287	0.0476092456388273	8112500
20210918 023541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	100	TRUE	0.0547298454858002	0.960550371384281	8688	2352	0.0474146987379678	8288750
20210918 024045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1478	TRUE	0.0127782842433281	0.314032491639027	6433	2129	0.0459083610291442	8540000
20210918 024135	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	187	TRUE	0.0852174059621211	0.59011467821787	5089	2111	0.045780922750227	8440000
20210918 024301	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1163	TRUE	0.0472773662070596	0.00477204769587889	9162	2938	0.0437874232021111	6728750
20210918 024346	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	145	TRUE	0.0280269939810197	0.830630558261634	6316	1303	0.0448973985980518	8352500
20210918 024523	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	509	TRUE	0.0268454198696871	0.847414386854617	3893	2011	0.0443272033370767	8493750
20210918 024652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	210	TRUE	0.0247134860850845	0.829474087418471	982	1481	0.0412021630147068	8470000
20210918 024739	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	191	TRUE	0.029419782273748	0.840647454909412	7090	2273	0.0447291634620711	8272500
20210918 024823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	145	TRUE	0.068693561880296	0.894914465614738	11250	2989	0.0467008773909212	8336250
20210918 025137	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	736	TRUE	0.0092466912531345	0.432940119022502	8842	2168	0.04820665329823	8012500
20210918 025208	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	119	TRUE	0.0647344386037167	0.899716298688066	5022	1912	0.0451357299897781	8208750
20210918 025308	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	411	TRUE	0.0710404691427063	0.799291823445586	10938	2808	0.0484661008256295	8616250
20210918 025334	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.0887779186140018	0.337868097224009	2266	705	0.0483681489843023	8142500
20210918 025406	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	127	TRUE	0.0378722456945631	0.650212423122483	12349	1166	0.0443700708089631	8141250
20210918 025445	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	152	TRUE	0.0556624006253215	0.258210501717077	17738	2533	0.0474318410548548	7905000
20210918 025508	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	113	TRUE	0.0905841399861106	0.113075014677768	13091	2752	0.0450858181930017	8060000
20210918 025533	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	91	TRUE	0.0561269037922058	0.959432300231193	12166	491	0.0457575402228267	7877500
