fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211120 111541	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	264.2	224	TRUE	0.160164414017261	0.10143674648914	407	138	62.6569739727117	0.26061946789236	10	0.0356372339802331	6512000	5697000	0.034863966926933	6942500	5792500	93
20211120 112348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	180.6	228	TRUE	0.141616869195355	0.417715399296628	749	283	56.5346759125032	0.987779933798662	10	0.0368590628739759	6834500	5669500	0.0335166076673947	7093750	5943750	94
20211120 113653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	336.6	262	TRUE	0.0643996299900766	0.145211459373846	52	1198	83.1892290104739	0.29030847625057	10	0.0362699070238424	6432500	5392500	0.0324370465215536	6505000	5655000	95
20211120 114853	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	181.8	252	TRUE	0.0755717976518162	0.845962789162272	223	523	68.6567517109401	0.544017748865387	10	0.0342229251922707	6728250	5723250	0.0295080046529922	6692500	5642500	96
20211120 120917	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1280.2	279	TRUE	0.0504378554088343	0.517692423603497	15573	3	25.47413964862	0.223411398090199	10	0.0407764471559003	5749375	5639375	0.0409563740135405	5632500	5732500	97
20211120 122645	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1666.2	294	TRUE	0.0422813745602407	0.768136833356647	23818	9	20.8018459888548	0.916831282045019	10	0.0403370908756161	6140000	5585000	0.0471408367017315	5958750	5558750	98
20211120 123412	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	264.9	247	TRUE	0.0845021696039056	0.629923058657721	692	103	57.3354663591646	0.333722318286947	10	0.0387378340153817	6893875	6008875	0.0345124819027056	7045000	5945000	99
20211120 124441	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	438.1	254	TRUE	0.0729578764449619	0.876079161868431	2006	94	46.6257673071139	0.87478044329701	10	0.0353158762437967	6730000	5810000	0.0375084732996912	6747500	5947500	100
20211120 130151	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	264.5	261	TRUE	0.0652654875927465	0.568458427301026	15	921	95.9997655969299	0.0644325794659276	10	0.0397077653084281	6444000	5504000	0.0327550567815688	6557500	5357500	101
20211120 131103	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	638.8	224	TRUE	0.161945117053683	0.192592870565946	8603	9	31.7535704080947	0.354851756471298	10	0.0394575414459424	6351375	5761375	0.0300687069535454	6258750	6008750	102
20211120 132140	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	126.1	222	TRUE	0.178113020373229	0.421742271757452	117	1401	75.1435305499472	0.763650294486547	10	0.0371025917836191	6383125	5328125	0.0348555982358799	6693750	5543750	103
20211120 142359	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	982.2	356	TRUE	0.0256100305135864	0.501108712064391	316	96	65.1912740368768	0.141905724004918	10	0.0379084967320261	7102750	6162750	0.0348304921627208	6997500	6297500	103
20211120 144805	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	399.2	332	TRUE	0.0302350111013092	0.826245779450913	48	867	84.0362326660939	0.194102965317408	10	0.0382424075050421	6702875	5582875	0.0387721456486991	6708750	5658750	104
20211120 150813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1409	342	TRUE	0.0279860694042174	0.213307827150775	1908	31	47.1329882756807	0.276538261664566	10	0.0395286753198932	6700750	6120750	0.0420610412325408	6667500	6267500	105
20211120 151558	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	363	243	TRUE	0.0910436608048156	0.253868834232446	459	64	61.4511461116932	0.137513129908212	10	0.0382030746570929	6823750	5933750	0.0376172662833806	6981250	5981250	106
20211120 152818	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	714	299	TRUE	0.0403517714073509	0.704083234395133	4007	46	39.6147256863303	0.855711350314037	10	0.0441180654933762	6710250	5870250	0.0447557597516172	6765000	5765000	107
20211120 154027	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	733.4	222	TRUE	0.181202883356996	0.448516552483081	4173	5	39.1999789720587	0.0909658739258395	10	0.0381160402701413	6476750	5761750	0.0377846401044413	6356250	6156250	108
20211120 154741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	293.4	220	TRUE	0.196865105300704	0.58599198246717	3760	18	40.2612261333503	0.310525432410573	10	0.0404257990007783	6566750	5761750	0.0407387880461617	6565000	5765000	109
20211120 160249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	164	226	TRUE	0.149346819180087	0.321417740124138	17	9319	94.6470590784401	0.738524642447187	10	0.0386081193040596	6228250	5398250	0.0333408651552811	6470000	5820000	110
20211120 160812	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	220.2	223	TRUE	0.17231570274049	0.634181222662656	3658	35	40.5422640129924	0.594163749483961	10	0.0408567865900095	6737375	5747375	0.0430569154678517	6668750	5868750	111
20211120 162345	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	211.6	255	TRUE	0.0724979513968714	0.949511483728373	233	859	68.2210908732191	0.932642926295898	10	0.0373444469550518	6692000	5722000	0.0379520139255019	6681250	5781250	112
20211120 162915	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	303.2	225	TRUE	0.158150386903789	0.892698025150667	1950	31	46.9114234213904	0.283736677689594	10	0.0386600051885885	6605500	5850500	0.0401446109813964	6603750	5953750	113
20211120 163508	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	218.7	228	TRUE	0.138007109572841	0.848445334885526	2625	56	43.9100348901004	0.682223030268541	10	0.0397303607742713	6690625	5770625	0.0433749257278669	6821250	5921250	114
20211120 165158	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	431.4	388	TRUE	0.0212749457529373	0.354000198355876	70	446	80.2060456396453	0.145509860585153	10	0.0389880578778673	7001500	5901500	0.0402785100382449	7133750	5983750	115
20211120 170303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	588.4	226	TRUE	0.15041718941492	0.437731061883736	10874	9	29.2990922859684	0.442895464845749	10	0.0379486664490807	6486750	5811750	0.031257061083076	6381250	5881250	116
20211120 170813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110.2	221	TRUE	0.184765601271405	0.33200541756493	65	169	80.9997100066021	0.0511347320575826	10	0.0377243855288594	6410250	5720250	0.0430150720125865	6775000	5975000	117
20211120 171614	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	318.6	227	TRUE	0.14512092550735	0.478407512929523	5360	18	36.6405325561576	0.441540112008555	10	0.0391144251127681	6592625	5812625	0.0418936674114802	6592500	5892500	118
20211120 173558	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	727	340	TRUE	0.0285619684978714	0.471892196887592	1246	125	51.4227551626973	0.724994848777819	10	0.0372297958876252	6969125	5999125	0.0373243620965245	6925000	5975000	119
20211120 174447	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1107.6	225	TRUE	0.154892331854366	0.643538298975117	10761	3	29.4090468737669	0.164479986883919	10	0.0397814097896948	6093000	5698000	0.0357259421053953	6013750	5563750	120
20211120 175306	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	182.5	220	TRUE	0.198822697213679	0.273232453358476	255	642	67.3180318582989	0.762226274691918	10	0.0372097110290979	6512125	5512125	0.0327299507084097	6911250	5961250	121
20211120 180506	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	607.4	221	TRUE	0.188956516240579	0.5069243709567	16880	12	24.602749961596	0.907118750235522	10	0.0394399671947311	6539000	5644000	0.0449231335726779	6640000	5740000	122
20211120 181846	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	252.2	265	TRUE	0.0610116004683217	0.34906930977446	185	946	70.5698789751343	0.815088412649599	10	0.0396140359686342	6768000	5848000	0.0365377051375394	6942500	5792500	123
20211120 183813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1285.2	307	TRUE	0.0371192415890796	0.383126452000998	14645	5	26.1350178031437	0.305270760245803	10	0.0375770965663261	6082250	5752250	0.0337760370900387	6005000	5855000	124
20211120 184302	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	396.7	227	TRUE	0.147524375683796	0.682165433482151	13609	5	26.9206327260099	0.30643928995121	10	0.0393043943996719	6119250	5769250	0.0375754228281155	6087500	5887500	125
20211120 190326	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	286	236	TRUE	0.109666015936681	0.6437097370676	34	3462	87.3936359991878	0.548612954257131	10	0.0361284761450462	6488625	5363625	0.0363619626254258	6468750	5418750	126
20211120 192510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	301.6	241	TRUE	0.0962917339728866	0.280349704789254	11	10684	99.0823114596866	0.547889147931447	10	0.0376591097386458	6315000	5390000	0.0426803243704652	6375000	5575000	127
20211120 193410	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	332.7	258	TRUE	0.0687820787145011	0.72390275799192	1596	100	48.9336937696673	0.739987605740079	10	0.0344455323742813	6875000	5905000	0.0430150720125865	6725000	6025000	128
20211120 194014	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	212.7	225	TRUE	0.157020685393508	0.625971087885485	2120	62	46.0676929576695	0.610698638869391	10	0.0362950130970015	6788750	5828750	0.0396341208271614	6880000	5880000	129
20211120 195602	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123.5	236	TRUE	0.111052032583845	0.854679193355492	54	1902	82.8340337252989	0.478713912372463	10	0.0396249152670031	6561375	5596375	0.03744989246232	6706250	5756250	130
20211120 200529	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	307.1	229	TRUE	0.136831041172007	0.579569567030063	60	141	81.7621781095304	0.039299284492766	10	0.0399512942180714	6692625	5717625	0.0434251378741851	6963750	5963750	131
20211120 202427	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	256	234	TRUE	0.116833747696774	0.497762244741223	26	4845	90.3024730347469	0.587197988268696	10	0.0389838735323408	6432125	5437125	0.0355501995932816	6540000	5490000	132
20211120 204613	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1302.8	326	TRUE	0.0317265723226778	0.426068278333242	20696	9	22.3694127118401	0.772965517036407	10	0.0441799938071686	6161000	5781000	0.0388893073234415	6091250	5841250	133
20211120 210103	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	477.8	306	TRUE	0.0375031809598347	0.749179627524433	273	238	66.66210649224	0.30282659102299	10	0.0389202714803378	6956625	5976625	0.0365460738285925	6891250	6341250	134
20211120 212440	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	397.8	374	TRUE	0.0229507361044548	0.312559297925816	25	1382	90.6814051057585	0.161075146578187	10	0.0391646372590863	6635125	5570125	0.0381277564376156	6555000	5455000	135
