fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	min_data_in_leaf	num_leaves	max_bin	lambda_l1	lambda_l2	ratio_corte	iteracion_bayesiana	ganancia
20211118 184826	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	92	TRUE	0.0698640942826248	0.429875826135586	0.734029246001339	72	6.90114956870157	385	466	88	82.5471941131512	25.9027930598105	0.0423330236917644	47	6327500
20211118 185011	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	281	TRUE	0.0575934883763852	0.367498522231937	0.733326045482546	100	3.97881301429113	458	525	85	83.2239445473896	3.75056636098402	0.0371025917836191	48	6158750
20211118 185215	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	303	TRUE	0.0516379515426059	0.470644697845096	0.656970096464798	64	7.78393093085236	73	616	78	83.7511947341309	9.33672060578174	0.0401906387821881	49	5947500
20211118 185257	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	75	TRUE	0.0655865435668089	0.416715910960335	0.711332253744385	85	0.277445738858348	370	276	89	78.8963611961259	15.9032677078626	0.0501410124442436	50	5911250
20211118 185529	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	395	TRUE	0.0219488640619937	0.39643778649963	0.707048169676428	76	6.23867754497768	236	592	100	72.9203209515021	28.8082560151836	0.0409605583590671	51	6182500
20211118 190513	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	59	TRUE	0.0910284032736948	0.688255352275853	0.699456080819143	86	6.79087357359223	269	589	73	71.9284003302641	30.0389110272461	0.0387763299942256	52	6458750
20211118 190554	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	65	TRUE	0.0584008951430077	0.676830400635949	0.70131885740024	50	6.98168452091049	111	578	63	89.8031865566716	0.316609829019237	0.0445172520566058	53	6201250
20211118 190651	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	98	TRUE	0.073587007873361	0.451551891539922	0.69410130766658	89	4.31964853052727	193	472	79	50.9534405822702	35.589761844963	0.0429439381386357	54	5936250
20211118 190741	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	147	TRUE	0.0768464171398298	0.682307530051178	0.723522286369777	70	5.82574720723715	1119	584	83	93.7331510699146	43.1007188253139	0.0391696584737181	55	5950000
20211118 190857	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	226	TRUE	0.0939581869920842	0.517045184077188	0.695554704918884	93	7.69805041782181	3927	498	48	78.3767834797211	37.4881929699553	0.0445172520566058	56	5701250
20211118 190952	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	98	TRUE	0.0717083935722211	0.604318377845719	0.713177319429817	86	9.93404594836493	76	653	68	74.9098235730182	21.6944633617517	0.0459734042998335	57	5283750
