fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	max_bin	lambda_l1	lambda_l2	min_data_in_leaf	num_leaves	seed	gleaf_size	gnum_leaves	semilla	isemilla	num_iterations	pos_actual	pos_ratio_actual	gan_validate	gan_test	pos_acum	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211122 190822	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	253	34.3245127459522	58.2604954985436	532	214	964333	59.9724111352116	0.530324685355707	964333	2	64	5257	0.0439942088657913	5628750	5828750	5033	0.042119622069912	5608750	5808750	3
20211122 190835	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	253	34.3245127459522	58.2604954985436	532	214	187049	59.9724111352116	0.530324685355707	187049	3	60	6036	0.0505134191961035	5505000	5355000	5482	0.0458771643527236	5547500	5647500	3
20211122 190847	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	253	34.3245127459522	58.2604954985436	532	214	205151	59.9724111352116	0.530324685355707	205151	4	53	4970	0.041592394533571	5487500	5487500	5341	0.044697178914246	5573750	5873750	3
20211122 190900	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	253	34.3245127459522	58.2604954985436	532	214	813697	59.9724111352116	0.530324685355707	813697	5	65	5408	0.0452578812147992	5540000	5690000	5352	0.0447892345158294	5560000	5810000	3
20211122 190913	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	253	34.3245127459522	58.2604954985436	532	214	344719	59.9724111352116	0.530324685355707	344719	6	67	5742	0.048053024026512	5422500	5622500	5640	0.0471994175391027	5450000	5650000	3
20211122 190926	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	253	34.3245127459522	58.2604954985436	532	214	127217	59.9724111352116	0.530324685355707	127217	7	71	5464	0.045726527913769	5520000	5870000	4821	0.0403454595666692	5473750	5873750	3
20211122 190938	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	253	34.3245127459522	58.2604954985436	532	214	464371	59.9724111352116	0.530324685355707	464371	8	65	5630	0.0471157306285724	5462500	5562500	4844	0.0405379394608889	5545000	5895000	3
20211122 190951	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	253	34.3245127459522	58.2604954985436	532	214	645137	59.9724111352116	0.530324685355707	645137	9	59	5135	0.0429732285573214	5481250	5781250	4892	0.0409396366314345	5585000	5885000	3
20211122 191004	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	253	34.3245127459522	58.2604954985436	532	214	480803	59.9724111352116	0.530324685355707	480803	10	72	5831	0.0487978375302319	5311250	5561250	4889	0.0409145305582754	5538750	5888750	3
20211122 191021	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	106	76.9631864351686	86.2305965926498	125	886	378821	74.4859306421131	0.516056260660232	378821	1	8	4620	0.0386633526650097	4075000	4125000	4620	0.0386633526650097	4075000	4125000	4
20211122 191039	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	106	76.9631864351686	86.2305965926498	125	886	964333	74.4859306421131	0.516056260660232	964333	2	53	5434	0.045475467182178	4157500	4257500	4924	0.0412074347451315	4095000	4295000	4
20211122 191055	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	106	76.9631864351686	86.2305965926498	125	886	187049	74.4859306421131	0.516056260660232	187049	3	18	3746	0.0313491166846594	4667500	4817500	5079	0.0425045818583515	4201250	4401250	4
20211122 191113	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	106	76.9631864351686	86.2305965926498	125	886	205151	74.4859306421131	0.516056260660232	205151	4	53	5882	0.0492246407739365	4247500	4147500	4567	0.0382198120391989	4191250	4491250	4
20211122 191131	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	106	76.9631864351686	86.2305965926498	125	886	813697	74.4859306421131	0.516056260660232	813697	5	49	7675	0.0642297038320236	3956250	3756250	4434	0.0371067761291456	4107500	4507500	4
20211122 191148	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	106	76.9631864351686	86.2305965926498	125	886	344719	74.4859306421131	0.516056260660232	344719	6	31	6375	0.0533504054630815	4031250	3881250	6908	0.0578109177943478	4065000	3965000	4
20211122 191203	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	106	76.9631864351686	86.2305965926498	125	886	127217	74.4859306421131	0.516056260660232	127217	7	8	5516	0.0461616998485267	4505000	4305000	5897	0.049350171139732	4078750	4128750	4
