fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	max_bin	lambda_l1	lambda_l2	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211122 201357	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	19.6	238	TRUE	0.104735317057348	0.94057001189969	0.541007327970001	463	48.7545735368622	7	156.724371808814	193.290794221684	98	888	76.9368819999509	0.405807627134665	10	0.0379084967320261	4427750	4592750	0.0378181148686534	4301250	4501250	27
20211122 201650	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	115.7	241	TRUE	0.0966215414139442	0.107921785218641	0.432043955473346	166	33.8088189184782	116	28.9036026108079	160.419391219039	426	13	62.2043222528882	0.0250406668334035	10	0.0459985103729926	4404375	4524375	0.0481032361728302	4565000	4415000	28
20211122 202134	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	99.3	271	TRUE	0.0556717456071638	0.551715011495398	0.924884416684508	185	42.5402499877964	248	39.5785024832003	41.2902435834985	4209	48	39.1134517090395	0.932213375316234	10	0.047310721130108	5313375	5068375	0.0473584226691103	5226250	5126250	29
20211122 202458	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	336.4	394	TRUE	0.0205375457373448	0.818533670424949	0.51725978128612	214	16.1777090432588	135	143.521169099258	128.117312234826	13488	9	27.0160099398345	0.584064006846922	10	0.0421999615040212	3666750	4001750	0.0433581883457608	3573750	4073750	30
20211122 202813	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	38.7	265	TRUE	0.0607548441132531	0.330559209320927	0.318353293696418	728	45.1953951315954	262	177.153123506578	14.281515768962	2082	11	46.2509227041155	0.102581095880014	10	0.0452955403245378	3419375	3509375	0.0449900831011022	3430000	3530000	31
20211122 203116	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	36.1	220	TRUE	0.192052908004145	0.390393826080253	0.933137268297723	838	48.1691072892863	141	4.2452977260109	81.7734529578593	3658	33	40.5409192647785	0.566613448508142	10	0.0451105922522658	5087000	4887000	0.0412409095093436	5340000	5040000	32
20211122 203406	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	287.9	317	TRUE	0.0341634908083361	0.705144040514715	0.138528650041553	527	0.664618880837224	32	19.28897425998	95.627318834886	12	8079	98.2931898869574	0.451953619440901	10	0.0410308553639125	5381375	4811375	0.0347049617969253	5316250	4866250	33
20211122 203510	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	25.1	227	TRUE	0.143106756360852	0.827018531127251	0.194292197552859	878	40.2822332599317	279	9.1485788335558	93.8631148682907	50	236	83.7342006359249	0.0550600675590686	10	0.0525344580854109	4228125	4073125	0.0606227979881667	4245000	3945000	34
20211122 203854	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	61.5	288	TRUE	0.0452643418182852	0.268260503403144	0.622740607177839	603	35.0605671020458	219	187.516973640304	183.39010435855	12	17818	97.750447856728	0.99672876609891	10	0.0398332956742236	4515250	4390250	0.0386131405186915	4482500	4382500	35
20211122 204052	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	67	247	TRUE	0.0844724585483782	0.999675826363964	0.891125599420047	869	7.05421121965628	294	194.66119851917	36.7924589733593	252	822	67.4485924276523	0.965033695792023	10	0.0471015038537822	5454625	5199625	0.0459273764990418	5440000	5290000	36
