Feature	Gain	Cover	Frequency	pos
cproductos	0.00389271466501663	0.00255839723052603	0.00205217887861808	30
mtarjeta_visa_consumo_avg3	0.00374583962382303	0.000632658553247116	0.000660266247903209	31
mactivos_margen	0.00371441266183828	0.00298164841616513	0.00383668225132946	32
ccaja_ahorro	0.00353079990087997	0.00639144674887965	0.00219493914843499	33
Visa_fechaalta_tend	0.00336268000634975	0.0033137487445835	0.00483600414004783	34
mdescubierto_preacordado	0.00326114376667207	0.000305671016654318	0.00028552053963382	35
mdescubierto_preacordado_delta1	0.003234115986447	0.00418909278786947	0.000945786787537028	36
mv_mpagominimo	0.00308651450571013	0.00380313450544445	0.0023376994182519	37
mcomisiones_mantenimiento_tend	0.00300443517974338	0.00323334306213625	0.00290874049751954	38
mcuenta_corriente	0.0028997090393848	0.00113672001164494	0.0024626146543417	39
ctrx_quarter_delta1	0.00289047769577876	0.00506607265127038	0.00501445447731896	40
mcaja_ahorro_dolares_delta1	0.00286249949156042	0.00507134257291673	0.00314072593597202	41
ctrx_quarter_tend	0.00283335093322794	0.00275624682687191	0.00408651272350905	42
ctarjeta_visa_transacciones_tend	0.00280349032798241	0.00252978821692439	0.00292658553124665	43
ctrx_quarter_lag1	0.0027639080812145	0.00300705524547219	0.00230200935079767	44
mcomisiones_mantenimiento	0.00259714785057364	0.00174909970903577	0.00190941860880117	45
mcuentas_saldo_delta1	0.00252909259111614	0.00460468712084069	0.00471108890395803	46
mv_mpagospesos	0.00250658417855108	0.000219543000129866	0.000374745708269389	47
mes	0.00245635343466489	0.00205494189851418	0.00244476962061458	48
mprestamos_personales_avg3	0.00239613364426933	0.0016752824723832	0.00126699739462508	49
ctarjeta_debito_transacciones	0.00238342277530887	0.000936495629577691	0.000927941753809915	50
mactivos_margen_avg3	0.00233210840181361	0.00473123849169474	0.00437203326314287	51
mcuenta_corriente_tend	0.00230984989752288	0.00449230741756699	0.0038902173525108	52
mtransferencias_recibidas	0.00228062282696402	0.00326319279405709	0.00258752989043149	53
cprestamos_personales_avg3	0.0022241813535194	0.00180028076297964	0.00132053249580642	54
mpagomiscuentas	0.002196715000275	0.00496375608825821	0.00258752989043149	55
mrentabilidad_avg3	0.00212564311615734	0.00414478407611144	0.00317641600342625	56
Visa_mpagospesos	0.00212234252163494	0.00206251335454033	0.00151682786680467	57
ccaja_seguridad	0.002071582726094	0.00370148099991274	0.00121346229344373	58
mtarjeta_master_consumo	0.00196028731337465	0.00158611775127881	0.000820871551447232	59
mv_status07	0.00188797732579444	0.000139754071206235	8.92251686355687e-05	60
Visa_fechaalta	0.00187643181680111	0.00116846782625598	0.00230200935079767	61
mv_status02	0.00186969434812293	9.07990230568014e-05	8.92251686355687e-05	62
mcuenta_debitos_automaticos	0.00179987020778062	0.00331046799537852	0.00203433384489097	63
ctarjeta_master_tend	0.00177274608957418	0.000260945948825275	0.000107070202362682	64
mpayroll_tend	0.00176409628319217	0.00236375399342166	0.00171312323780292	65
mv_status02_avg3	0.0017266979447604	0.000952317160276278	0.000374745708269389	66
chomebanking_transacciones_avg3	0.00170502196164021	0.0025798519032538	0.00342624647560584	67
mpayroll_avg3	0.00166628281981644	0.00389932566223043	0.00180234840643849	68
mprestamos_personales_delta1	0.00165804565137502	0.00928911269170123	0.00269460009279418	69
numero_de_cliente	0.00164294620976397	0.00554591486299215	0.00478246903886648	70
cliente_edad_lag1	0.00162240579202658	0.00308503148834735	0.00397944252114637	71
mv_status06	0.00158627816465289	0.000326916562495004	0.00014276026981691	72
