fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211115 073140	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	150	TRUE	0.0948297502629645	0.784900363077223	2203	145	0.0234030445298051	64	5255000
20211115 073414	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	309	TRUE	0.0418801164876111	0.885492029009969	5218	163	0.0412953060011884	65	6182500
20211115 073658	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	354	TRUE	0.0387016240178421	0.920547404272342	6484	564	0.0309599725506933	66	5726250
20211115 073945	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	331	TRUE	0.0425319602072053	0.863257575254748	5544	388	0.0281397236658214	67	5547500
20211115 074358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	686	TRUE	0.0303992116355896	0.165217367060971	7060	648	0.032667185525512	68	5971250
20211115 074625	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	294	TRUE	0.0700494016601518	0.218210928347707	3345	632	0.0227084431724034	69	5208750
20211115 074913	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	355	TRUE	0.0647234458425082	0.799812874208856	5626	144	0.0379394608889224	70	6233750
20211115 075232	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	455	TRUE	0.0382203248930722	0.982837307361607	6530	540	0.0328931401839438	71	5987500
20211115 075507	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	344	TRUE	0.0404640250547417	0.175879165340634	3566	152	0.0315876243796708	72	5632500
20211115 075719	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	155	TRUE	0.0958131605852209	0.33169325672877	780	571	0.0380817286368239	73	6412500
20211115 080325	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	889	TRUE	0.0217320504062995	0.901632195077906	7441	811	0.0310603968433297	74	5761250
20211115 080632	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	378	TRUE	0.0631348979303241	0.792488310616324	4740	122	0.0377135062304905	75	6417500
20211115 080831	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	214	TRUE	0.0864638146546111	0.642167845299724	4207	1005	0.0337634840534592	76	5757500
20211115 080957	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	106	TRUE	0.058037643837817	0.730735204925574	2643	624	0.0319642154770572	77	5526250
20211115 081233	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	353	TRUE	0.0707739179464616	0.77025847955551	7023	154	0.0305582753801478	78	5936250
