fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	max_bin	lambda_l1	lambda_l2	min_data_in_leaf	num_leaves	seed	gleaf_size	gnum_leaves	semilla	isemilla	num_iterations	pos_actual	pos_ratio_actual	gan_validate	gan_test	pos_acum	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211126 014140	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	230	TRUE	0.133237513432046	0.44483792951447	0.492708388855681	434	37.1041934771347	181	73.1088680448011	63.825186380418	8218	7	964333	32.2289680661634	0.267486313695437	964333	2	47	5685	0.0475760086364892	4443750	3943750	6129	0.0512917074640356	4288750	3738750	5
20211126 014212	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	230	TRUE	0.133237513432046	0.44483792951447	0.492708388855681	434	37.1041934771347	181	73.1088680448011	63.825186380418	8218	7	187049	32.2289680661634	0.267486313695437	187049	3	46	5960	0.0498773986760731	4650000	3950000	5900	0.0493752772128911	4475000	4025000	5
20211126 014243	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	230	TRUE	0.133237513432046	0.44483792951447	0.492708388855681	434	37.1041934771347	181	73.1088680448011	63.825186380418	8218	7	205151	32.2289680661634	0.267486313695437	205151	4	46	5321	0.0445298050931854	3998750	3748750	5436	0.0454922045642841	4405000	3855000	5
20211126 014315	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	230	TRUE	0.133237513432046	0.44483792951447	0.492708388855681	434	37.1041934771347	181	73.1088680448011	63.825186380418	8218	7	813697	32.2289680661634	0.267486313695437	813697	5	50	6141	0.0513921317566719	4273750	3773750	5818	0.0486890445465425	4427500	3777500	5
20211126 014346	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	230	TRUE	0.133237513432046	0.44483792951447	0.492708388855681	434	37.1041934771347	181	73.1088680448011	63.825186380418	8218	7	344719	32.2289680661634	0.267486313695437	344719	6	47	6481	0.054237486714703	4048750	3848750	5775	0.0483291908312621	4481250	3881250	5
20211126 014418	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	230	TRUE	0.133237513432046	0.44483792951447	0.492708388855681	434	37.1041934771347	181	73.1088680448011	63.825186380418	8218	7	127217	32.2289680661634	0.267486313695437	127217	7	53	5615	0.0469902002627769	4231250	3881250	5677	0.0475090591080649	4403750	3953750	5
20211126 014450	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	230	TRUE	0.133237513432046	0.44483792951447	0.492708388855681	434	37.1041934771347	181	73.1088680448011	63.825186380418	8218	7	464371	32.2289680661634	0.267486313695437	464371	8	52	6692	0.0560032805268928	4385000	3935000	5754	0.0481534483191484	4357500	3857500	5
20211126 014521	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	230	TRUE	0.133237513432046	0.44483792951447	0.492708388855681	434	37.1041934771347	181	73.1088680448011	63.825186380418	8218	7	645137	32.2289680661634	0.267486313695437	645137	9	46	6393	0.0535010419020361	4408750	3958750	5678	0.0475174277991179	4402500	4002500	5
20211126 014553	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	230	TRUE	0.133237513432046	0.44483792951447	0.492708388855681	434	37.1041934771347	181	73.1088680448011	63.825186380418	8218	7	480803	32.2289680661634	0.267486313695437	480803	10	51	6161	0.0515595055777326	4248750	4198750	5289	0.0442620069794883	4338750	3738750	5
20211126 014634	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	232	TRUE	0.123699772359687	0.180681682141731	0.982049080290599	401	9.05543825851055	77	170.645059270319	155.898697618395	353	488	378821	64.0808299635537	0.802700850204914	378821	1	46	5405	0.0452327751416401	5493750	4993750	5405	0.0452327751416401	5493750	4993750	6
