fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	max_bin	lambda_l1	lambda_l2	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211126 072636	binary	custom	TRUE	TRUE	FALSE	-100	-1	98.7	256	TRUE	0.0713662672727792	0.676923002760115	0.94988208013747	568	13.9738177561728	180	57.9385546298153	114.201118562817	20	4338	92.6364046913987	0.404468386983436	10	0.0416852870042597	6033625	5673625	0.0441113705405338	5961250	5611250	74
20211126 073013	binary	custom	TRUE	TRUE	FALSE	-100	-1	40.4	236	TRUE	0.110467376736323	0.837035651419925	0.939100413663892	565	39.6936199583782	85	43.1380310344902	50.3959313994776	106	1268	76.0789829245321	0.626477457907071	10	0.0434435489945018	5636000	5471000	0.0417765057367377	5810000	5660000	75
20211126 073350	binary	custom	TRUE	TRUE	FALSE	-100	-1	38	220	TRUE	0.199597651960676	0.741795874649686	0.818282467905323	210	3.59523889912295	165	53.7107519409763	10.6496285775217	499	80	60.608884327612	0.185993835626295	10	0.0383595691797846	5820375	5320375	0.0328889558384173	6087500	5237500	76
20211126 073828	binary	custom	TRUE	TRUE	FALSE	-100	-1	50.8	224	TRUE	0.163369698121539	0.196647589627295	0.99318513829278	569	30.6157115698176	77	8.34306458343625	67.7954670238774	32	4339	88.1118552102508	0.647240857976421	10	0.0423932782673462	5652875	5402875	0.0405044646966768	5850000	5800000	77
20211126 074447	binary	custom	TRUE	TRUE	FALSE	-100	-1	43.4	229	TRUE	0.136130146200106	0.582988328014535	0.999758548596543	549	35.5169866350207	125	60.967979458026	51.8776463145865	36	3637	86.9172473136617	0.610373210503182	10	0.0444720611249195	5752375	5442375	0.0426384809152001	5931250	5581250	78
20211126 074933	binary	custom	TRUE	TRUE	FALSE	-100	-1	73.8	230	TRUE	0.129234219558024	0.169710773054695	0.953869110849998	559	25.974097037691	39	0.585379346964159	102.835229833227	50	3260	83.7210407340861	0.759767128799238	10	0.0403647075560912	5690875	5485875	0.0407722628103738	5660000	5810000	79
20211126 075410	binary	custom	TRUE	TRUE	FALSE	-100	-1	47.5	220	TRUE	0.199881698054814	0.170036033513628	0.957653744250102	571	30.0907984718003	86	35.8905822113727	103.616296704662	33	4958	87.9274521122489	0.762669055466057	10	0.042621743533094	5373750	5148750	0.0438268350447307	5703750	5453750	80
20211126 080011	binary	custom	TRUE	TRUE	FALSE	-100	-1	43.3	229	TRUE	0.135024655555433	0.52938473159511	0.940716071475433	559	21.0213699689709	53	2.1926772389038	41.0323884824759	64	3040	81.186601822889	0.907055522538124	10	0.0382599817562535	6085250	5740250	0.0390985245997673	6210000	6060000	81
20211126 080714	binary	custom	TRUE	TRUE	FALSE	-100	-1	146.8	247	TRUE	0.0838993425123151	0.607255626933041	0.920570306265465	553	1.3918669447438	35	0.692337150576971	49.9971949117064	48	3494	84.0583396730645	0.781853316275804	10	0.0411639175516557	6511500	5826500	0.0440193149389504	6525000	6075000	82
20211126 081506	binary	custom	TRUE	TRUE	FALSE	-100	-1	132.8	247	TRUE	0.0840048634261646	0.585792212577804	0.978668431199695	553	3.68872836597517	33	0.011159179103606	54.4392802184349	64	2456	81.2239906186937	0.732584582645888	10	0.0378909224808148	6480375	5955375	0.0347300678700844	6612500	6012500	83
