fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	max_bin	lambda_l1	lambda_l2	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211126 054503	binary	custom	TRUE	TRUE	FALSE	-100	-1	35.3	223	TRUE	0.168076446565399	0.547808036259223	0.845962734813883	239	28.5128280043576	243	62.4883576410283	67.243683577974	87	1116	78.155214868139	0.452625319209006	10	0.0422543579958659	5463625	5268625	0.0404458838593056	5758750	5658750	54
20211126 055056	binary	custom	TRUE	TRUE	FALSE	-100	-1	32.8	221	TRUE	0.188672786242369	0.570754519954807	0.816529118686341	444	8.63536531505881	243	50.3367569857187	5.31599026258345	110	1297	75.7624881018	0.664838678044334	10	0.04041659344062	5908125	5473125	0.0384206606244717	6261250	5761250	55
20211126 055756	binary	custom	TRUE	TRUE	FALSE	-100	-1	84	244	TRUE	0.0898620038050175	0.404271421097738	0.951283978369509	509	9.35200888467168	143	70.9166913046673	46.7553919317001	77	1469	79.2657813612315	0.52727253637617	10	0.0373352413948934	6153375	5543375	0.0329307992936825	6181250	5631250	56
20211126 060431	binary	custom	TRUE	TRUE	FALSE	-100	-1	50.4	228	TRUE	0.139928115867387	0.568393286880807	0.834228350792287	502	20.6850783003062	221	43.2673645421659	186.445101415596	137	720	73.5210924671462	0.459753265726373	10	0.042889541646791	5643750	5373750	0.0420443038504348	5820000	5520000	57
20211126 060804	binary	custom	TRUE	TRUE	FALSE	-100	-1	23	220	TRUE	0.19943659915943	0.638212164619852	0.893248044364809	422	36.2113551861433	136	54.8499773893825	14.2813006641928	47	1259	84.2456715320591	0.275732075045508	10	0.0413103696450838	5674625	5294625	0.0358431037801377	5896250	5596250	58
20211126 061210	binary	custom	TRUE	TRUE	FALSE	-100	-1	53.3	237	TRUE	0.106416452476697	0.66677586808719	0.875004198944616	403	19.5672793057134	207	59.0392246632633	36.6344218491149	121	1577	74.7564544874274	0.889667292237396	10	0.040767241595742	5895750	5525750	0.0375419480639033	5942500	5842500	59
20211126 061700	binary	custom	TRUE	TRUE	FALSE	-100	-1	45	230	TRUE	0.129629347849798	0.607447285990965	0.969579253974234	469	33.8722784809672	217	61.1037751787029	85.6103683746881	70	3036	80.2872387758768	0.990485471168754	10	0.0431456235930138	5625500	5520500	0.0430736528499577	5816250	5766250	60
20211126 062030	binary	custom	TRUE	TRUE	FALSE	-100	-1	57.5	235	TRUE	0.112780184969168	0.708503427287132	0.984939852951521	558	31.18442539112	26	61.4986985591331	180.06140901747	48	4205	83.9590528229903	0.940981989527792	10	0.0455516222707606	5626125	5406125	0.0446051233126627	5887500	5537500	61
20211126 062711	binary	custom	TRUE	TRUE	FALSE	-100	-1	52.1	230	TRUE	0.13171529832802	0.50667235972842	0.938858718989295	621	20.1802114832722	231	57.3174617291819	97.3770152693479	36	4421	86.8034219720734	0.741966473096659	10	0.0424083419112417	5825625	5500625	0.0407304193551087	5916250	5816250	62
20211126 063354	binary	custom	TRUE	TRUE	FALSE	-100	-1	55.5	230	TRUE	0.132980962634094	0.53343214738315	0.863428228436978	873	15.1733961027275	232	61.7959577687598	39.6440048157268	105	1440	76.1784897899973	0.704766166151383	10	0.0396525319474781	5962250	5502250	0.0449900831011022	6080000	5630000	63
